Section,Category,Example
Technology,Access software,Access management software
Technology,Access software,Citrix cloud computing software
Technology,Access software,Remote access software
Technology,Administration software,Aruba Networks AirWave
Technology,Administration software,Asset management administration software
Technology,Administration software,Cisco Systems CiscoWorks
Technology,Administration software,Cisco Systems CiscoWorks LAN Management Solution
Technology,Administration software,Cisco Systems Wireless Control System WCS
Technology,Administration software,Element management software
Technology,Administration software,Infoblox security and networking software
Technology,Administration software,Lucent VitalSuite
Technology,Administration software,NetIQ
Technology,Administration software,Netreo OmniCenter
Technology,Administration software,Network documentation software
Technology,Administration software,Riverbed Technology
Technology,Administration software,Simple network management protocol SNMP software
Technology,Analytical or scientific software,Discrete event simulation software
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,Root cause analysis software
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Application server software,Citrix XenApp
Technology,Application server software,Docker
Technology,Application server software,GitHub
Technology,Application server software,Microsoft Windows Server
Technology,Application server software,Oracle WebLogic Server
Technology,Application server software,Red Hat OpenShift
Technology,Application server software,Red Hat WildFly
Technology,Application server software,Spring Boot
Technology,Authentication server software,Microsoft Forefront Identify Manager
Technology,Backup or archival software,Computer Associates ArcServ Backup
Technology,Backup or archival software,System and data disaster recovery software
Technology,Backup or archival software,Veritas NetBackup
Technology,Bridge software,Network bridge software
Technology,Business intelligence and data analysis software,Apache Spark
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Cloud-based data access and sharing software,Microsoft SharePoint
Technology,Cloud-based management software,Amazon Web Services AWS CloudFormation
Technology,Cloud-based management software,IBM WebSphere
Technology,Cloud-based management software,IBM WebSphere MQ
Technology,Cloud-based management software,Splunk Enterprise
Technology,Cloud-based protection or security software,SolarWinds
Technology,Clustering software,VMware
Technology,Communications server software,Email management software
Technology,Communications server software,IBM Domino
Technology,Computer aided design CAD software,Autodesk AutoCAD
Technology,Computer aided design CAD software,Autodesk Revit
Technology,Computer aided design CAD software,Dassault Systemes CATIA
Technology,Computer aided design CAD software,Dassault Systemes SolidWorks
Technology,Computer based training software,
Technology,Configuration management software,Application management software
Technology,Configuration management software,Automated installation software
Technology,Configuration management software,Chef
Technology,Configuration management software,Logical partition LPAR software
Technology,Configuration management software,Patch and update management software
Technology,Configuration management software,Perforce Helix software
Technology,Configuration management software,Puppet
Technology,Configuration management software,Software distribution software
Technology,Content workflow software,Atlassian JIRA
Technology,Data base management system software,Amazon DynamoDB
Technology,Data base management system software,Apache Cassandra
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Hive
Technology,Data base management system software,Apache Pig
Technology,Data base management system software,Apache Solr
Technology,Data base management system software,Elasticsearch
Technology,Data base management system software,MongoDB
Technology,Data base management system software,MySQL
Technology,Data base management system software,NoSQL
Technology,Data base management system software,Oracle PL/SQL
Technology,Data base management system software,Relational database management software
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
Technology,Data base reporting software,Network reporting software
Technology,Data base user interface and query software,Amazon Elastic Compute Cloud EC2
Technology,Data base user interface and query software,Amazon Redshift
Technology,Data base user interface and query software,Amazon Web Services AWS software
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,Oracle Database
Technology,Data base user interface and query software,Oracle JDBC
Technology,Data base user interface and query software,Structured query language SQL
