Section,Category,Example
Technology,Access software,Citrix cloud computing software
Technology,Accounting software,Tax software
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,Simulation program with integrated circuit emphasis SPICE
Technology,Analytical or scientific software,StataCorp Stata
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Application server software,Docker
Technology,Application server software,GitHub
Technology,Application server software,Oracle WebLogic Server
Technology,Application server software,Red Hat OpenShift
Technology,Application server software,Red Hat WildFly
Technology,Application server software,Spring Boot
Technology,Backup or archival software,Veritas NetBackup
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Cloud-based data access and sharing software,Microsoft SharePoint
Technology,Cloud-based management software,Amazon Web Services AWS CloudFormation
Technology,Cloud-based management software,IBM WebSphere
Technology,Cloud-based management software,Splunk Enterprise
Technology,Clustering software,VMware
Technology,Communications server software,IBM Domino
Technology,Compiler and decompiler software,Code generator software
Technology,Compiler and decompiler software,Command interpreters
Technology,Compiler and decompiler software,Compilers
Technology,Compiler and decompiler software,Decompilers
Technology,Compiler and decompiler software,Incremental compiler software
Technology,Compiler and decompiler software,Inline code expander software
Technology,Compiler and decompiler software,Interpreter software
Technology,Compiler and decompiler software,Just-in-time compiler
Technology,Compiler and decompiler software,Mixed code generator
Technology,Compiler and decompiler software,One pass compiler software
Technology,Compiler and decompiler software,Partial class generator software
Technology,Compiler and decompiler software,Retargetable compiler
Technology,Compiler and decompiler software,Threaded code compiler
Technology,Computer aided design CAD software,Bentley MicroStation
Technology,Computer aided design CAD software,Computer aided design and drafting CADD software
Technology,Computer aided design CAD software,Dassault Systemes CATIA
Technology,Configuration management software,Chef
Technology,Configuration management software,IBM Rational ClearCase
Technology,Configuration management software,Perforce Helix software
Technology,Configuration management software,Puppet
Technology,Configuration management software,Revision control software
Technology,Content workflow software,Atlassian JIRA
Technology,Content workflow software,Emerald Software Group Emerald Green Office
Technology,Content workflow software,Workflow software
Technology,Data base management system software,Amazon DynamoDB
Technology,Data base management system software,Amazon Kinesis
Technology,Data base management system software,Apache Cassandra
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Pig
Technology,Data base management system software,Apache Solr
Technology,Data base management system software,CAST SQL Builder
Technology,Data base management system software,Computer Associates integrated data management system CA-IDMS
Technology,Data base management system software,Data definition language DDL
Technology,Data base management system software,Data manipulation language DML
Technology,Data base management system software,Elasticsearch
Technology,Data base management system software,MongoDB
Technology,Data base management system software,MySQL
Technology,Data base management system software,NoSQL
Technology,Data base management system software,Oracle PL/SQL
Technology,Data base management system software,Relational database management software
Technology,Data base management system software,SAP Adaptive Server Enterprise
Technology,Data base management system software,Structured Query Report SQR
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
Technology,Data base reporting software,ReCrystallize Crystal Reports
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base user interface and query software,Amazon Elastic Compute Cloud EC2
Technology,Data base user interface and query software,Amazon Redshift
Technology,Data base user interface and query software,Amazon Web Services AWS software
Technology,Data base user interface and query software,Apache Hive
Technology,Data base user interface and query software,dBASE Plus
Technology,Data base user interface and query software,FileMaker Pro
Technology,Data base user interface and query software,IBM DB2
Technology,Data base user interface and query software,IEA Software Emerald
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,Oracle Database
Technology,Data base user interface and query software,Oracle JDBC
Technology,Data base user interface and query software,Structured query language SQL
Technology,Data base user interface and query software,Transact-SQL
Technology,Data mining software,Google Analytics
Technology,Desktop publishing software,Microsoft Publisher
Technology,Development environment software,A programming language APL
Technology,Development environment software,ABC Compiler
Technology,Development environment software,Ada
Technology,Development environment software,Adobe ActionScript
