Section,Category,Example
Technology,Access software,Access management software
Technology,Access software,Citrix cloud computing software
Technology,Access software,IBM Tivoli software
Technology,Access software,Mac HelpMate
Technology,Access software,Remote desktop control software
Technology,Administration software,Cisco Systems CiscoWorks
Technology,Administration software,Dynamic host configuration protocol DHCP
Technology,Administration software,Element management software
Technology,Administration software,Hewlett-Packard HP Network Node Manager
Technology,Administration software,Network address management software
Technology,Administration software,Network documentation software
Technology,Administration software,Network management software
Technology,Administration software,Network shutdown software
Technology,Administration software,Simple network management protocol SNMP software
Technology,Analytical or scientific software,Root cause analysis software
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,StataCorp Stata
Technology,Application server software,Citrix XenApp
Technology,Application server software,Docker
Technology,Application server software,GitHub
Technology,Application server software,Oracle WebLogic Server
Technology,Application server software,Red Hat OpenShift
Technology,Application server software,Red Hat WildFly
Technology,Authentication server software,Password management software
Technology,Backup or archival software,System and data disaster recovery software
Technology,Backup or archival software,Veritas NetBackup
Technology,Business intelligence and data analysis software,Apache Spark
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Cloud-based data access and sharing software,Microsoft SharePoint
Technology,Cloud-based management software,Amazon Web Services AWS CloudFormation
Technology,Cloud-based management software,IBM WebSphere
Technology,Cloud-based management software,Splunk Enterprise
Technology,Cloud-based protection or security software,SolarWinds
Technology,Clustering software,VMware
Technology,Communications server software,IBM Domino
Technology,Compiler and decompiler software,Command interpreters
Technology,Computer aided design CAD software,Computer aided design and drafting CADD software
Technology,Computer aided design CAD software,Dassault Systemes CATIA
Technology,Computer based training software,Moodle
Technology,Computer imaging software,Symantec Ghost Solution Suite
Technology,Configuration management software,Application management software
Technology,Configuration management software,Automated installation software
Technology,Configuration management software,Chef
Technology,Configuration management software,Microsoft Windows Sysprep
Technology,Configuration management software,Patch and update management software
Technology,Configuration management software,Perforce Helix software
Technology,Configuration management software,Puppet
Technology,Content workflow software,Atlassian JIRA
Technology,Customer relationship management CRM software,Blackbaud The Raiser's Edge
Technology,Data base management system software,Amazon DynamoDB
Technology,Data base management system software,Apache Cassandra
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Hive
Technology,Data base management system software,Apache Pig
Technology,Data base management system software,Apache Solr
Technology,Data base management system software,Elasticsearch
Technology,Data base management system software,MongoDB
Technology,Data base management system software,MySQL
Technology,Data base management system software,NoSQL
Technology,Data base management system software,Oracle PL/SQL
Technology,Data base management system software,Relational database management software
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base user interface and query software,Amazon Elastic Compute Cloud EC2
Technology,Data base user interface and query software,Amazon Redshift
Technology,Data base user interface and query software,Amazon Web Services AWS software
Technology,Data base user interface and query software,Blackboard software
Technology,Data base user interface and query software,Database software
Technology,Data base user interface and query software,FileMaker Pro
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,Oracle Database
Technology,Data base user interface and query software,Oracle JDBC
Technology,Data base user interface and query software,Structured query language SQL
Technology,Data base user interface and query software,Transact-SQL
Technology,Desktop communications software,ParentSquare
Technology,Desktop communications software,Secure shell SSH software
Technology,Desktop communications software,Skype
Technology,Desktop publishing software,Microsoft Publisher
Technology,Development environment software,Adobe ActionScript
Technology,Development environment software,Apache Ant
