Tool,Frequency,Roles
Quest Erwin Data Modeler,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
C#,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Visual Basic,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Azure software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft .NET Framework,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Integrated development environment IDE software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apache Tomcat,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Eclipse IDE,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Common business oriented language COBOL,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
C,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Apache Maven,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Advanced business application programming ABAP,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Structured query language SQL,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Visual Basic Scripting Edition VBScript,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
C++,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle Database,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft SQL Server,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Access,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Amazon Web Services AWS software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Perl,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Python,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft SQL Server Reporting Services SSRS,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Teradata Database,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Relational database management software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Virtual private networking VPN software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Visual Studio,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
NoSQL,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
JavaScript,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Ruby on Rails,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Citrix cloud computing software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
PHP,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle E-Business Suite Financials,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Node.js,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Nagios,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
IBM Power Systems software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
SAP software,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Active Server Pages ASP,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
LAMP Stack,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle Fusion Applications,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Drupal,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Hypertext markup language HTML,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Extensible hypertext markup language XHTML,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Dynamics,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle Fusion Middleware,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
McAfee,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
IBM InfoSphere DataStage,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Extensible markup language XML,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Enterprise JavaBeans,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Exchange,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Dynamic hypertext markup language DHTML,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle PL/SQL,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Oracle Java,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
MySQL,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Red Hat Enterprise Linux,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Microsoft Windows Server,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
Splunk Enterprise,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
IBM WebSphere,4,ComputerNetworkArchitects; ComputerProgrammers; NetworkandComputerSystemsAdministrators; ComputerandInformationSystemsManagers
